29.8,0,2.7,0.42,15.5,-3.8,1.767
30.6,0,3,0.38,14.6,-3.9,1.726
30.8,0,3.3,0.36,13.9,-3.9,1.807
31,0,2.3,0.42,16.5,-4.1,2.001
29.3,0,3.1,0.48,17.1,-3.7,1.808
28,0,2.5,0.49,16.2,-3.2,2.37
26.5,0,2.8,0.62,18.6,-2.8,1.509
24.8,0,2.3,0.7,18.9,-2,1.615
23.8,0,2.5,0.76,19.3,-0.8,1.756
23.3,0,1.6,0.78,19.2,-0.2,1.547
23.1,0,2.1,0.79,19.2,-0.1,0.899
23.1,0,1.6,0.8,19.4,-0.3,0.63
22.8,0,1.8,0.82,19.5,-0.2,0.596
22.7,0,1.7,0.83,19.6,-0.4,0.588
22.5,0,1.4,0.83,19.4,-0.3,0.58
22.3,0,1.2,0.83,19.2,-0.2,0.576
22,0,1.5,0.85,19.3,0.2,0.504
22.1,0,1.5,0.85,19.4,0.4,0.628
22.6,0,1.8,0.82,19.3,0.7,0.85
23.6,0,2.2,0.78,19.5,1,1.228
25.2,0,1.6,0.68,18.8,0.9,1.261
26.4,0,1.6,0.6,18,0.5,1.353
27.6,0,1.4,0.52,16.8,0.2,1.756
28.3,0,1.7,0.51,17.1,-0.1,1.779
29.7,0,2.3,0.44,16.1,-0.4,1.83
29.4,0,1.9,0.41,14.7,-0.9,2.258
29.9,0,1.9,0.43,15.9,-1.2,2.497
30,0,1.5,0.47,17.4,-1.4,1.976
29.5,0,2,0.47,16.9,-1.2,1.864
28.2,0,1.7,0.5,16.7,-0.8,1.764
26.7,0,1.3,0.54,16.6,-0.2,1.46
25.7,0,2,0.5,14.4,0.7,1.387
24.7,0,1.5,0.45,11.9,1.3,2.156
23.9,0,0.9,0.46,11.5,1.7,2.5
23.3,0,0.8,0.52,12.8,1.9,1.259
22.9,0,0.7,0.55,13.3,1.7,0.967
22.2,0,0.6,0.6,14,1.7,0.646
21.7,0,0.6,0.65,14.8,1.7,0.48
21.2,0,0.6,0.66,14.5,1.5,0.484
20.3,0,0.3,0.7,14.6,1.4,0.632
20,0,1.2,0.72,14.7,1.5,0.831
20.8,0,0.5,0.7,15.1,1.6,0.75
23.2,0,0.7,0.62,15.5,1.8,0.99
24.8,0,1.8,0.56,15.4,1.7,1.348
26.3,0,2.1,0.5,15,1.7,1.723
27.6,0,1.9,0.46,14.9,1.6,1.728
28.7,0,2.9,0.46,15.9,1,1.486
29.7,0,3,0.44,16.1,0.6,1.874
30.3,0,1.8,0.41,15.5,0.3,1.964
30.6,0,3.1,0.39,15,-0.2,1.881
30.7,0,2.3,0.39,15.1,-0.6,2.005
30.5,0,2.5,0.39,14.9,-0.5,2.003
30,0,2.6,0.41,15.3,-0.3,2.114
28.8,0,2.6,0.44,15.3,0.4,2.1
25.6,0,3,0.68,19.2,1.7,1.427
24.2,0,2.3,0.73,19,2.5,0.95
23.5,0,1.8,0.76,19,3.4,0.618
22.6,0,2.1,0.73,17.5,4.1,0.716
22.2,0,1.9,0.7,16.4,4.2,0.877
21.8,0,1.2,0.73,16.7,3.9,0.946
22.1,0,0.5,0.7,16.3,4.1,1.083
21.3,0,1,0.75,16.6,4.3,0.815
21,0,1.5,0.76,16.6,4.8,0.926
21,0,1.3,0.76,16.6,5.4,0.904
20.8,0,1.7,0.77,16.6,5.3,1.038
21.7,0,1,0.62,14,5.9,1.888
22.2,0,1.3,0.45,9.6,6.1,4.125
22.6,0,1.6,0.44,9.7,6.3,4.452
23.5,0,1.6,0.45,10.8,6.2,4.089
24,0,1.3,0.48,12.3,5.8,2.84
25.5,0,1.7,0.53,15.2,5.1,1.629
27.3,0,1.6,0.51,16.2,4.8,1.542
28.1,0,1.7,0.51,17,4.3,1.344
28.9,0,1.8,0.48,16.7,3.8,1.539
29.1,0,2.4,0.48,16.9,3.3,1.557
29.5,0,1.7,0.45,16.3,3.4,1.538
29.2,0,1.9,0.46,16.3,3,1.778
28.7,0,1.5,0.49,16.9,3.4,1.858
25.8,0,1.8,0.64,18.4,3.9,1.1
24.7,0,1.4,0.69,18.6,5,0.705
24,0,1.2,0.71,18.4,6,0.608
23.2,0,1.4,0.73,18,6.3,0.588
22.5,0,1.2,0.74,17.6,6.6,0.717
21.8,0,1.2,0.74,16.9,7,0.886
21.3,0,0.8,0.72,16,7.3,0.95
21,0,0.9,0.73,15.9,7.6,1.1
20.6,0,1,0.72,15.3,7.8,1.136
20.5,0,0.2,0.73,15.4,7.9,1.983
20.8,0,0.3,0.72,15.5,8.2,1.122
21.1,0,0.8,0.77,16.9,8.7,1.1
22.7,0,1,0.72,17.3,8.8,0.58
24.7,0,1,0.66,17.9,8.7,0.655
25.9,0,1.5,0.59,17.2,8.4,0.773
27.5,0,1.1,0.53,17,8.2,1.008
29,0,2.1,0.48,16.8,7.8,1.472
30.1,0,2.4,0.43,16.1,7.1,2.085
31.2,0,2.1,0.39,15.5,6.6,2.099
31.7,0,2.1,0.39,16,6.3,1.553
32,0,2,0.4,16.7,6.3,1.843
32.2,0,1.2,0.41,17.2,6.3,1.77
31.7,0,1.4,0.44,17.9,6.4,1.039
31.2,0,1.3,0.48,18.8,6.6,1.646
28.3,0,3,0.51,17.1,7.2,1.659
26.7,0,1.9,0.54,16.6,7.9,1.555
26,0,1.2,0.56,16.5,8.6,1.384
24.6,0,2.5,0.63,17,9.5,1.076
24.2,0,0.8,0.63,16.7,9.5,1.542
23.5,0,0.5,0.61,15.5,9.3,1.49
23,0,1.4,0.65,16,8.7,1.197
22.4,0,0.4,0.65,15.4,8.4,1.154
